;Tabela 1: Liczba hospitalizacji i liczba punktów za hospitalizacje wg rozpoznań i sekcji produktów
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Maj 2021;;Kwiecień 2021;;Maj 2020;;Maj 2021 / Kwiecień 2021;;Maj 2021 / Maj 2020
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podkarpackie;SZPITAL PULMONOLOGICZNY;Q Choroby naczyń;10;19044.04;11;22037.19;< 5;2881.5;-0.090909;-0.135823; ;5.609072
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podkarpackie;SZPITAL PULMONOLOGICZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;;;< 5;417;< 5;663; ;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;POZA PSZ;A Choroby układu nerwowego;< 5;1771;;;;; ;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;POZA PSZ;E Choroby układu krążenia;7;16180;6;31076;< 5;5751;0.166667;-0.479341; ;1.813424
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;POZA PSZ;F Choroby przewodu pokarmowego;;;;;< 5;5108;;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;< 5;5963.94;< 5;1987.98;6;12044.82; ;2; ;-0.504854
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;< 5;775.2;< 5;2228.7;< 5;4589.68; ;-0.652174; ;-0.831099
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL I STOPNIA;E Choroby układu krążenia;17;100118.9932;13;27615.7;15;29871;0.307692;2.625437;0.133333;2.351712
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;78;151757.64;98;215445.72;55;114514.4285;-0.204082;-0.295611;0.418182;0.325227
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;16087.44;< 5;6988.02;< 5;12285.84; ;1.302146; ;0.309429
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;3914.76;;;;; ;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL I STOPNIA;K Choroby układu dokrewnego;;;< 5;4896;< 5;3040.56; ;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL I STOPNIA;L Choroby układu moczowo-płciowego;;;;;< 5;2766.58;;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;23;55357.56;21;49758.84;15;29511.56;0.095238;0.112517;0.533333;0.875792
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;4272.96;;;< 5;5917.35; ;; ;-0.277893
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;< 5;8035.9;< 5;3943;7;12483; ;1.038017; ;-0.356253
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL II STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;7902.24;< 5;3946.07;< 5;541.62; ;1.00256; ;13.590008
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;;;;;< 5;2168.52;;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL II STOPNIA;E Choroby układu krążenia;< 5;3288.56;7;12816.9;< 5;11889.12; ;-0.74342; ;-0.723398
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;21;99647.25;15;27797.33;12;45723.38;0.4;2.584778;0.75;1.17935
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL II STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;< 5;2503.79;;; ;;;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL II STOPNIA;J Choroby piersi, skóry i oparzenia;;;< 5;6440.77;;; ;;;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;< 5;10850.98;< 5;1041.31;< 5;1051.62; ;9.420509; ;9.318347
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;24;58471.2;21;62724.24;15;33758.94;0.142857;-0.067805;0.6;0.732021
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL II STOPNIA;Q Choroby naczyń;< 5;2194.73;< 5;658.52;;; ;2.332822; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;3017.88;< 5;3017.88;12;22000.38; ;0; ;-0.862826
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL III STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;;;< 5;1299;;; ;;;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL III STOPNIA;E Choroby układu krążenia;13;35495;17;61125;;;-0.235294;-0.419305;;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;8;18986;5;13568;;;0.6;0.399322;;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;< 5;826;5;4034;;; ;-0.79524; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;;;;;< 5;797;;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;< 5;916;;;;; ;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;9;10458.32;11;18304.504;< 5;1516;-0.181818;-0.428648; ;5.898628
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;< 5;9547;< 5;9448;< 5;9448; ;0.010478; ;0.010478
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;E Choroby układu krążenia;16;270829.57;7;12821.5;< 5;9044.1;1.285714;20.12308; ;28.945442
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;14;43978.4;16;80077;19;82670;-0.125;-0.450799;-0.263158;-0.468025
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;7463.88;9;26863.2;5;9589; ;-0.722152; ;-0.221621
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;< 5;5559.52;< 5;8040.52;< 5;3838; ;-0.308562; ;0.448546
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;K Choroby układu dokrewnego;< 5;168228.2844;< 5;7523.28;< 5;81971.18; ;21.361029; ;1.052286
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;L Choroby układu moczowo-płciowego;< 5;63823;6;36662;;; ;0.740849; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;78;179276.76;61;147219.336;30;79474;0.278689;0.217753;1.6;1.255791
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;< 5;3293.136;< 5;17739;< 5;11818.4; ;-0.814356; ;-0.721355
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;< 5;19448;< 5;652;;; ;28.828221; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;8;11300.32;< 5;5425.912;;; ;1.082658;;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL ONKOLOGICZNY;F Choroby przewodu pokarmowego;7;43790.4;5;17014;< 5;16061;0.4;1.573786; ;1.726505
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Podlaskie;SZPITAL ONKOLOGICZNY;Q Choroby naczyń;5;10865;8;17576;< 5;2825;-0.375;-0.381827; ;2.846018
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;POZA PSZ;F Choroby przewodu pokarmowego;;;< 5;2194.8;;; ;;;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;POZA PSZ;Q Choroby naczyń;;;< 5;560.79;;; ;;;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL I STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;4421.52;< 5;1585;;; ;1.789603; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;;;< 5;5060.22;;; ;;;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL I STOPNIA;E Choroby układu krążenia;10;20466.44;13;39815.94;14;26825.61;-0.230769;-0.485974;-0.285714;-0.237056
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;39;100788.568;44;114052.464;61;123180.94;-0.113636;-0.116296;-0.360656;-0.181784
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;< 5;3683.22;6;43494.89; ;;;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;3601.62;;;;; ;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL I STOPNIA;K Choroby układu dokrewnego;< 5;3011.04;;;< 5;12928.56; ;; ;-0.767102
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL I STOPNIA;L Choroby układu moczowo-płciowego;;;;;< 5;414;;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;47;103782.0276;46;106281.3596;43;89223;0.021739;-0.023516;0.093023;0.163176
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL I STOPNIA;Q Choroby naczyń;< 5;6751.38;;;;; ;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;1721.52;;;< 5;3235.82; ;; ;-0.46798
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;< 5;4891.43;< 5;6859.92;< 5;7830.54; ;-0.286955; ;-0.375339
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL II STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;;;;;6;5461.08;;;;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;< 5;5085.956;< 5;3724.476;< 5;4659.36; ;0.365549; ;0.091557
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL II STOPNIA;E Choroby układu krążenia;9;23014.365;13;34283.339;15;39599.256;-0.307692;-0.328701;-0.4;-0.418818
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;20;57820.82;14;92469.8228;18;38253.672;0.428571;-0.374706;0.111111;0.51151
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL II STOPNIA;K Choroby układu dokrewnego;;;;;< 5;1505.52;;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;< 5;2063.31;< 5;2829.02;6;5124.24; ;-0.270663; ;-0.597343
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;23;47778.7464;23;51875.424;22;42057.66;0;-0.078971;0.045455;0.13603
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL II STOPNIA;Q Choroby naczyń;< 5;658.52;;;;; ;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;4016.77;< 5;1786.32;< 5;360.06; ;1.248628; ;10.155835
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;12;20295;< 5;5854;6;11575; ;2.46686;1;0.753348
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;18;41185.2;26;47787.44;16;36490;-0.307692;-0.138158;0.125;0.128671
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;5824.68;7;18029.12;6;11772; ;-0.676929; ;-0.505209
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;E Choroby układu krążenia;30;153858.99;18;134066.03;21;41906;0.666667;0.147636;0.428571;2.671527
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;64;158391.49;56;146499.3746;50;150856.636;0.142857;0.081175;0.28;0.049947
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;13;76438;31;183173.2;16;157596.46;-0.580645;-0.582701;-0.1875;-0.514976
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;343.44;< 5;3838;;; ;-0.910516; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;K Choroby układu dokrewnego;13;43433.96;7;35403.584;11;44718;0.857143;0.226824;0.181818;-0.028714
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;32;19024;23;9997;13;6752;0.391304;0.902971;1.461538;1.817536
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;93;244286.28;77;226643.48;66;157167;0.207792;0.077844;0.409091;0.55431
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;5;11536.128;< 5;9879.516;;; ;0.167681;;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;Q Choroby naczyń;5;3260;6;8475;10;20926;-0.166667;-0.615339;-0.5;-0.844213
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;8;14910.88;5;17877.4;< 5;3203;0.6;-0.165937; ;3.655286
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;2480;;;;; ;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;5;6591;< 5;2346;< 5;12499; ;1.809463; ;-0.472678
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL OGÓLNOPOLSKI;E Choroby układu krążenia;8;62942;6;46688.4;7;20306.9;0.333333;0.348129;0.142857;2.099538
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;11;37811;7;52218;5;24585;0.571429;-0.275901;1.2;0.53797
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;8;36906;10;54564;7;32477;-0.2;-0.32362;0.142857;0.136373
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL OGÓLNOPOLSKI;K Choroby układu dokrewnego;< 5;4428;;;< 5;10518; ;; ;-0.579007
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL OGÓLNOPOLSKI;L Choroby układu moczowo-płciowego;;;< 5;1505;< 5;650; ;; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;11;35625.096;19;73021.392;< 5;15770;-0.421053;-0.512128; ;1.259042
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;5;35184;5;21371.4;< 5;9216.4;0;0.646312; ;2.817543
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;16217.728;< 5;417;< 5;5337.6; ;37.891434; ;2.038393
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;25;68025.7872;21;59893.0794;8;13563;0.190476;0.135787;2.125;4.015541
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL PEDIATRYCZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;890.1144;< 5;1747.3428;;; ;-0.49059; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;< 5;6850;< 5;6850;;; ;0; ;
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL PULMONOLOGICZNY;F Choroby przewodu pokarmowego;< 5;5366;< 5;549;< 5;6754; ;8.774135; ;-0.205508
;R00-R99 Objawy, cechy chorobowe oraz nieprawidłowe wyniki badań klinicznych i laboratoryjnych niesklasyfikowane gdzie indziej;Pomorskie;SZPITAL PULMONOLOGICZNY;K Choroby układu dokrewnego;;;< 5;1476;< 5;9660; ;; ;
