;Tabela 1: Liczba hospitalizacji i liczba punktów za hospitalizacje wg rozpoznań i sekcji produktów
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Czerwiec 2021;;Maj 2021;;Czerwiec 2020;;Czerwiec 2021 / Maj 2021;;Czerwiec 2021 / Czerwiec 2020
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL II STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;713.06;;;;; ;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;6;15088.39;< 5;9125.76;;; ;0.653384;;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;< 5;18984.97;< 5;6807.4;< 5;8861.76; ;1.788872; ;1.142348
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;152;875065.712;126;706305.2336;194;1335296.4048;0.206349;0.238934;-0.216495;-0.344666
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL II STOPNIA;J Choroby piersi, skóry i oparzenia;;;< 5;12009.91;< 5;15177.6; ;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;;;< 5;6094.34;< 5;1476; ;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;;;< 5;3807.9828;< 5;3545.52; ;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;5;13475.8;5;13552.866;7;23451.84;0;-0.005686;-0.285714;-0.425384
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL II STOPNIA;T Obrażenia, urazy;24;47107.612;15;21537.72;27;37727.76;0.6;1.187214;-0.111111;0.248619
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;38;324833.88;34;148357.34;46;508373.47;0.117647;1.189537;-0.173913;-0.361033
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;B Choroby narządu wzroku;< 5;6984;7;12970.4;6;7812; ;-0.461543; ;-0.105991
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;16;35149.79;18;63875.26;17;53380.38;-0.111111;-0.449712;-0.058824;-0.341522
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;6868;9;21201.68;8;22534.92; ;-0.676063; ;-0.695229
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;5;21828.22;< 5;2662;< 5;31453.15; ;7.199932; ;-0.306008
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;8774;< 5;10929;< 5;196449.63; ;-0.197182; ;-0.955337
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;449;2930408.81;433;2901985.9488;468;3076853.26;0.036952;0.009794;-0.040598;-0.047596
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;5;28263;6;97784;11;231521;-0.166667;-0.710965;-0.545455;-0.877925
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;K Choroby układu dokrewnego;;;;;< 5;4311;;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;< 5;4695;< 5;6025;5;11578; ;-0.220747; ;-0.59449
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;76;164804.5332;74;158326.754;85;239122.04;0.027027;0.040914;-0.105882;-0.310793
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;108;585120.672;80;597320.8164;94;414616.2;0.35;-0.020425;0.148936;0.411234
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;Q Choroby naczyń;;;;;< 5;1739;;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;117;660528.52;103;585902.64;130;734888;0.135922;0.127369;-0.1;-0.101185
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL III STOPNIA;T Obrażenia, urazy;75;258346.01;62;113934.82;90;171019.74;0.209677;1.26749;-0.166667;0.510621
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;5;34599;8;42748;6;86273.81;-0.375;-0.190629;-0.166667;-0.598963
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;B Choroby narządu wzroku;< 5;19414.68;< 5;2451.6;< 5;2460; ;6.919187; ;6.892146
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;19;131302.219;9;56398.76;16;144626.74;1.111111;1.328105;0.1875;-0.09213
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;< 5;1890;< 5;23282;< 5;56024.56; ;-0.918821; ;-0.966265
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;E Choroby układu krążenia;< 5;22875;;;< 5;47896; ;; ;-0.522403
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;;;;;< 5;14244.42;;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;15930.41;< 5;6790;;; ;1.346158; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;60;487365.6292;66;471570.66;38;315283.64;-0.090909;0.033494;0.578947;0.545801
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;< 5;62349;8;112630;5;24832; ;-0.446426; ;1.510833
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;< 5;5052.24;;;;; ;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;;;;;< 5;8053.1;;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;78;121741;68;102913;12;29765;0.147059;0.182951;5.5;3.090072
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL OGÓLNOPOLSKI;T Obrażenia, urazy;12;297246.09;13;303276.18;16;896816.51;-0.076923;-0.019883;-0.25;-0.668554
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;6;18208.9782;6;19882.8756;< 5;1521;0;-0.084188; ;10.971715
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL PEDIATRYCZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;15;40943.07;15;40844.412;9;22446;0;0.002415;0.666667;0.82407
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Pomorskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;;;< 5;760;;; ;;;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;POZA PSZ;A Choroby układu nerwowego;< 5;4428;;;< 5;2835; ;; ;0.561905
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;POZA PSZ;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;7;34434.5;6;38017;7;22405.8;0.166667;-0.094234;0;0.536857
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;POZA PSZ;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;< 5;18279;;; ;;;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;POZA PSZ;H Choroby układu mięśniowo-szkieletowego;96;418338.84;95;447025.29;98;437320.92;0.010526;-0.064172;-0.020408;-0.043405
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;POZA PSZ;J Choroby piersi, skóry i oparzenia;5;21930;< 5;10593;< 5;7352; ;1.070235; ;1.982862
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;POZA PSZ;L Choroby układu moczowo-płciowego;< 5;6949;< 5;1476;< 5;5418; ;3.707995; ;0.282577
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;POZA PSZ;P Choroby dzieci - leczenie zachowawcze;;;< 5;1441;;; ;;;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;POZA PSZ;PZ Choroby dzieci - leczenie zabiegowe;< 5;12188.9;7;26859;< 5;2770.6; ;-0.546189; ;3.399372
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;POZA PSZ;Q Choroby naczyń;< 5;7321;< 5;7321;;; ;0; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;POZA PSZ;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;4958;;;5;17542; ;; ;-0.717364
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;POZA PSZ;T Obrażenia, urazy;8;9684;11;21452.44;6;11585.88;-0.272727;-0.548583;0.333333;-0.164155
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;54;250207.449;29;62173.92;51;70398.346;0.862069;3.024315;0.058824;2.554167
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;B Choroby narządu wzroku;< 5;2092.85;< 5;6389.91;< 5;410; ;-0.672476; ;4.104512
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;7;4947.45;5;3792.38;< 5;6885.19;0.4;0.304577; ;-0.281436
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;6;13017;8;19559.4;9;20099.32;-0.25;-0.334489;-0.333333;-0.352366
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;E Choroby układu krążenia;;;;;< 5;3323.81;;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;< 5;13262.76;< 5;8650.62;6;15195.09; ;0.533157; ;-0.127168
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;19271.88;< 5;19730.88;< 5;9913.75; ;-0.023263; ;0.943955
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;565;3348916.5022;446;2652111.8086;573;3429201.718;0.266816;0.262736;-0.013962;-0.023412
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;78744.38;< 5;58297.08;< 5;6568.31; ;0.350743; ;10.98853
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;10982.3756;7;20522.3922;7;18593.56; ;-0.464859; ;-0.409345
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;< 5;629.64;;;5;16987.43; ;; ;-0.962935
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;Q Choroby naczyń;< 5;10988.46;< 5;2891.7;;; ;2.8; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;73;202096.9552;48;151699.9624;74;209006.978;0.520833;0.332215;-0.013514;-0.033061
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL I STOPNIA;T Obrażenia, urazy;137;227238.5876;108;209907.5366;134;224073.3024;0.268519;0.082565;0.022388;0.014126
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;32;86317.63;30;77669;32;202254.0202;0.066667;0.111352;0;-0.573222
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;B Choroby narządu wzroku;6;19344.53;< 5;4724.78;< 5;4214.64; ;3.094271; ;3.589842
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;5764.07;6;19954.57;5;7634.94; ;-0.71114; ;-0.245041
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;9;22130.28;< 5;51630.14;< 5;11840.16; ;-0.571369; ;0.869086
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;< 5;1863.45;< 5;9423.3;;; ;-0.802251; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;6805.38;< 5;3699;< 5;9749; ;0.839789; ;-0.301941
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;634;4245530.527;566;4109303.7695;571;4174856.3925;0.120141;0.033151;0.110333;0.016929
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;J Choroby piersi, skóry i oparzenia;47;1958775.7348;38;2075952.9219;52;2179527.5436;0.236842;-0.056445;-0.096154;-0.101284
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;< 5;1192.81;;;< 5;7711.2; ;; ;-0.845315
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;125;210358.19098;101;168930.753;65;106114.06;0.237624;0.245233;0.923077;0.982378
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;150;818640.72348;130;946037.6347;107;489267.7356;0.153846;-0.134664;0.401869;0.673196
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;Q Choroby naczyń;< 5;1982.63;;;;; ;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;50;137151.7168;37;97829.9764;30;82941.3;0.351351;0.40194;0.666667;0.6536
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL II STOPNIA;T Obrażenia, urazy;165;286017.9744;113;194800.3249;108;350178.125;0.460177;0.468262;0.527778;-0.183221
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;54;338989.32;55;620910.57;39;378221.76;-0.018182;-0.454045;0.384615;-0.103729
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;B Choroby narządu wzroku;8;19484.328;15;30686.0312;14;22998;-0.466667;-0.365042;-0.428571;-0.152782
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;22;280873.18;21;201151.63;22;214780.38;0.047619;0.396326;0;0.307723
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;6;17778.6;< 5;9701.6;6;20851.74; ;0.832543;0;-0.147381
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;E Choroby układu krążenia;;;< 5;1613;;; ;;;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;;;< 5;2376.44;< 5;11441; ;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;22173.41;< 5;10413.41;;; ;1.129313; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;466;3553142.7716;385;2645979.1826;348;2912385.4487;0.21039;0.342846;0.33908;0.220011
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;13746;5;68915;< 5;4428; ;-0.800537; ;2.104336
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;K Choroby układu dokrewnego;;;;;< 5;4311;;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;< 5;1181;;;< 5;3813; ;; ;-0.69027
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;76;161488.026;82;175831.02;67;118608;-0.073171;-0.081573;0.134328;0.361527
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;168;883301.097204;139;781105.880124;118;388276.6;0.208633;0.130834;0.423729;1.274927
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;Q Choroby naczyń;7;152810.22;< 5;157288.27;7;63176.5; ;-0.02847;0;1.418783
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;48;327069.4052;68;370517.9724;63;334152.08;-0.294118;-0.117264;-0.238095;-0.021196
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL III STOPNIA;T Obrażenia, urazy;118;381175.23;130;660069.57;108;549502.99;-0.092308;-0.422523;0.092593;-0.306327
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;10;121828.61;18;134689.15;26;423183.81;-0.444444;-0.095483;-0.615385;-0.712114
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;B Choroby narządu wzroku;7;14688.36;12;53026.48;22;64547.8;-0.416667;-0.723;-0.681818;-0.772442
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;26;285230.57;27;261147.36;16;168288.36;-0.037037;0.092221;0.625;0.694892
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;8;50007.72;11;74904.2;11;75499.78;-0.272727;-0.332378;-0.272727;-0.337644
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;E Choroby układu krążenia;< 5;5438.4;;;< 5;1774.3; ;; ;2.065096
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;< 5;11009;< 5;1927;5;94999.89; ;4.713025; ;-0.884116
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;5662.44;;;;; ;; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;70;565988.24;57;438147.364;58;464078.8771;0.22807;0.291776;0.206897;0.219595
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;< 5;13972.4272;;;< 5;6931; ;; ;1.015932
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;47;167673.10476;41;106003.5552;32;71182.19;0.146341;0.581769;0.46875;1.355549
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;124;855943.270848;58;380880.010512;85;519778.85;1.137931;1.247278;0.458824;0.646745
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;< 5;101157.65;< 5;68048.918;;; ;0.486543; ;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;15;36015.3432;21;51050.6992;17;39000;-0.285714;-0.294518;-0.117647;-0.07653
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL OGÓLNOPOLSKI;T Obrażenia, urazy;14;99165.298;9;69503.169888;21;95850.51;0.555556;0.426774;-0.333333;0.034583
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL ONKOLOGICZNY;Q Choroby naczyń;;;< 5;7940.95;;; ;;;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL ONKOLOGICZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;2479;< 5;2479;< 5;14042; ;0; ;-0.823458
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL PEDIATRYCZNY;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;1420.2;;;< 5;665; ;; ;1.135639
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL PEDIATRYCZNY;J Choroby piersi, skóry i oparzenia;;;< 5;7485.48;;; ;;;
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;83;149483.016;58;138673.7712;50;87960.12;0.431034;0.077947;0.66;0.699441
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL PEDIATRYCZNY;PZ Choroby dzieci - leczenie zabiegowe;147;870306.5844;129;529417.2528;126;589785.61;0.139535;0.643895;0.166667;0.475632
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL PEDIATRYCZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;21;56369.52;23;73735.4016;15;37320;-0.086957;-0.235516;0.4;0.510437
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;< 5;1890;< 5;5550;< 5;2126; ;-0.659459; ;-0.111007
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL PULMONOLOGICZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;2479;;;< 5;7329; ;; ;-0.661755
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Śląskie;SZPITAL PULMONOLOGICZNY;T Obrażenia, urazy;< 5;3780;5;7145;5;5846; ;-0.470959; ;-0.353404
;S00-T98 Urazy, zatrucia i inne określone skutki działania czynników zewnętrznych;Świętokrzyskie;POZA PSZ;B Choroby narządu wzroku;;;< 5;5965;;; ;;;
